asset,inner_window,zscore_lookback,forward_days,n_orders,spearman_r,spearman_p,n
XLK,10,252,5,3,-0.15355283814090323,4.3306689027846754e-33,6021
XLK,10,252,5,4,-0.13554066272592488,4.3812445915530216e-26,6021
XLK,10,252,10,3,-0.17836098662446614,3.4578785403591766e-44,6016
XLK,10,252,10,4,-0.16244312076975465,7.5124653857957114e-37,6016
XLK,10,252,20,3,-0.1966741571917684,1.9313577228459507e-53,6006
XLK,10,252,20,4,-0.1777890235434835,7.674127851481608e-44,6006
XLK,20,60,2,3,-0.05687542515039362,7.350835863049105e-06,6206
XLK,20,60,2,4,-0.06033842109552115,1.967569485893466e-06,6206
XLK,20,60,3,3,-0.07077073928401914,2.3966973665920743e-08,6205
XLK,20,60,3,4,-0.08679895398245684,7.443932069982694e-12,6205
XLK,20,60,5,3,-0.0824275233067198,7.94294615439953e-11,6203
XLK,20,60,5,4,-0.10321955356814615,3.6507350001896337e-16,6203
XLK,20,60,10,3,-0.07660671142303592,1.5535687023936688e-09,6198
XLK,20,60,10,4,-0.10134669241890538,1.2671464660552114e-15,6198
XLK,20,60,20,3,-0.06823520486238735,7.75140135904655e-08,6188
XLK,20,60,20,4,-0.07930774090155775,4.177881949497049e-10,6188
XLK,20,120,2,3,-0.09590227595707031,4.911978712528161e-14,6146
XLK,20,120,2,4,-0.08679859674885364,9.349141438581971e-12,6146
XLK,20,120,3,3,-0.12287378421091245,4.1733298604571537e-22,6145
XLK,20,120,3,4,-0.12093638984306569,1.8485873081178158e-21,6145
XLK,20,120,5,3,-0.1399365742580383,3.064725724166293e-28,6143
XLK,20,120,5,4,-0.14253813086451683,3.0103318201044566e-29,6143
XLK,20,120,10,3,-0.14508874637068112,3.1285958423231017e-30,6138
XLK,20,120,10,4,-0.14507363800784345,3.172201410874802e-30,6138
XLK,20,120,20,3,-0.1351567150582847,2.2338935527295845e-26,6128
XLK,20,120,20,4,-0.12386166830241835,2.210913943498004e-22,6128
XLK,20,252,2,3,-0.12071098608443487,5.800862247615087e-21,6014
XLK,20,252,2,4,-0.11498878560649234,3.712451417704461e-19,6014
XLK,20,252,3,3,-0.15936981100251654,1.6856691633893292e-35,6013
XLK,20,252,3,4,-0.16160936007939888,1.810035332807859e-36,6013
XLK,20,252,5,3,-0.18744023267141433,1.17225415100439e-48,6011
XLK,20,252,5,4,-0.19199465271931723,5.243106583715755e-51,6011
XLK,20,252,10,3,-0.20017248334819565,2.477887290144014e-55,6006
XLK,20,252,10,4,-0.19874134931598586,1.4870353262801223e-54,6006
XLK,20,252,20,3,-0.1989772524653593,1.356850629648389e-54,5996
XLK,20,252,20,4,-0.1831617281987352,2.1537674432884305e-46,5996
XLK,40,60,2,3,-0.06320539500339557,6.519857405498751e-07,6186
XLK,40,60,2,4,-0.05132387870042195,5.378794809386967e-05,6186
XLK,40,60,3,3,-0.07711552355396317,1.2589427050918327e-09,6185
XLK,40,60,3,4,-0.06462901803735158,3.6372282038408025e-07,6185
XLK,40,60,5,3,-0.09114711944711598,6.94130479424501e-13,6183
XLK,40,60,5,4,-0.07380421651475036,6.242488580538725e-09,6183
XLK,40,60,10,3,-0.09884254096519829,6.886373364384749e-15,6178
XLK,40,60,10,4,-0.07153449440981147,1.815693287655628e-08,6178
XLK,40,60,20,3,-0.10305906639871455,4.902775873287456e-16,6168
XLK,40,60,20,4,-0.06126342530580251,1.4722213062305463e-06,6168
XLK,40,120,2,3,-0.06788569908983719,1.0469438654066495e-07,6126
XLK,40,120,2,4,-0.050434325258527014,7.843243071273952e-05,6126
XLK,40,120,3,3,-0.08206779288122597,1.2563607247914535e-10,6125
XLK,40,120,3,4,-0.065550370984291,2.827393309031696e-07,6125
XLK,40,120,5,3,-0.09562713955020276,6.457864973874191e-14,6123
XLK,40,120,5,4,-0.07494180384809516,4.32583533145809e-09,6123
XLK,40,120,10,3,-0.09729260140221731,2.4113544939731996e-14,6118
XLK,40,120,10,4,-0.06883973179727447,7.054562851037425e-08,6118
XLK,40,120,20,3,-0.0892280200344423,2.8281428505245938e-12,6108
XLK,40,120,20,4,-0.043671067241230585,0.000640200072999862,6108
XLK,40,252,2,3,-0.09184456677137263,1.0463381618355002e-12,5994
XLK,40,252,2,4,-0.0857724394869857,2.9020582501206883e-11,5994
XLK,40,252,3,3,-0.11472940014524251,5.135830073107831e-19,5993
XLK,40,252,3,4,-0.11407278213735685,8.148566427362403e-19,5993
XLK,40,252,5,3,-0.1351720947687904,7.884912887548022e-26,5991
XLK,40,252,5,4,-0.12943809506495338,8.388014097665827e-24,5991
XLK,40,252,10,3,-0.1450285094485377,1.683896978923107e-29,5986
XLK,40,252,10,4,-0.13431401290605702,1.6816931290962701e-25,5986
